Naif_id,Body,IAU2009_Mean,IAU2009_Semimajor,IAU2000_Axisb,IAU2009_Semiminor
199,Mercury,2439700.00,2439700.00,2439700.00,2439700.00
299,Venus,6051800.00,6051800.00,6051800.00,6051800.00
399,Earth,6371008.40,6378136.60,6378136.60,6356751.90
301,Moon,1737400.00,1737400.00,1737400.00,1737400.00
499,Mars,3389500.00,3396190.00,3396190.00,3376200.00
401,Phobos,11080.00,13000.00,11400.00,9100.00
402,Deimos,6200.00,7800.00,6000.00,5100.00
599,Jupiter,69911000.00,71492000.00,71492000.00,66854000.00
501,Io,1821490.00,1829400.00,1819400.00,1815700.00
502,Europa,1560800.00,1562600.00,1560300.00,1560950.00
503,Ganymede,2631200.00,2631200.00,2631200.00,2631200.00
504,Callisto,2410300.00,2410300.00,2410300.00,2410300.00
505,Amalthea,83500.00,125000.00,73000.00,64000.00
506,Himalia,85000.00,85000.00,85000.00,85000.00
507,Elara,40000.00,40000.00,40000.00,40000.00
508,Pasiphae,18000.00,18000.00,18000.00,18000.00
509,Sinope,14000.00,14000.00,14000.00,14000.00
510,Lysithea,12000.00,12000.00,12000.00,12000.00
511,Carme,15000.00,15000.00,15000.00,15000.00
512,Ananke,10000.00,10000.00,10000.00,10000.00
513,Leda,5000.00,5000.00,5000.00,5000.00
514,Thebe,49300.00,58000.00,49000.00,42000.00
515,Adrastea,8200.00,10000.00,8000.00,7000.00
516,Metis,21500.00,30000.00,20000.00,17000.00
517,Callirrhoe, , , ,
518,Themisto, , , ,
519,Magaclite, , , ,
520,Taygete, , , ,
521,Chaldene, , , ,
522,Harpalyke, , , ,
523,Kalyke, , , ,
524,Iocaste, , , ,
525,Erinome, , , ,
526,Isonoe, , , ,
527,Praxidike, , , ,
528,Autonoe, , , ,
529,Thyone, , , ,
530,Hermippe, , , ,
531,Aitne, , , ,
532,Eurydome, , , ,
533,Euanthe, , , ,
534,Euporie, , , ,
535,Orthosie, , , ,
536,Sponde, , , ,
537,Kale, , , ,
538,Pasithee, , , ,
539,Hegemone, , , ,
540,Mneme, , , ,
541,Aoede, , , ,
542,Thelxinoe, , , ,
543,Arche, , , ,
544,Kallichore, , , ,
545,Helike, , , ,
546,Carpo, , , ,
547,Eukelade, , , ,
548,Cyllene, , , ,
549,Kore, , , ,
550,Herse, , , ,
699,Saturn,58232000.00,60268000.00,60268000.00,54364000.00
601,Mimas,198200.00,207800.00,196700.00,190600.00
602,Enceladus,252100.00,256600.00,251400.00,248300.00
603,Tethys,531000.00,538400.00,528300.00,526300.00
604,Dione,561400.00,563400.00,561300.00,559600.00
605,Rhea,763500.00,765000.00,763100.00,762400.00
606,Titan,2574730.00,2575150.00,2574780.00,2574470.00
607,Hyperion,135000.00,180100.00,133000.00,102700.00
608,Iapetus,734300.00,745700.00,745700.00,712100.00
609,Phoebe,106500.00,109400.00,108500.00,101800.00
610,Janus,89500.00,101500.00,92500.00,76300.00
611,Epimetheus,58100.00,64900.00,57000.00,53100.00
612,Helene,17600.00,21700.00,19100.00,13000.00
613,Telesto,12400.00,16300.00,11800.00,10000.00
614,Calypso,10700.00,15100.00,11500.00,7000.00
615,Atlas,15100.00,20400.00,17700.00,9400.00
616,Prometheus,43100.00,67800.00,39700.00,29700.00
617,Pandora,40700.00,52000.00,40500.00,32000.00
618,Pan,14100.00,17200.00,15700.00,10400.00
619,Ymir, , , ,
620,Paaliaq, , , ,
621,Tarvos, , , ,
622,Ijiraq, , , ,
623,Suttungr, , , ,
624,Kiviuq, , , ,
625,Mundilfari, , , ,
626,Albiorix, , , ,
627,Skathi, , , ,
628,Erriapo, , , ,
629,Siarnaq, , , ,
630,Thrymr, , , ,
631,Narvi, , , ,
632,Methone,1600.00,1600.00,1600.00,1600.00
633,Pallene,2500.00,2500.00,2500.00,2500.00
634,Polydeuces,1300.00,1300.00,1300.00,1300.00
635,Daphnis,3800.00,4300.00,4100.00,9400.00
636,Aegir, , , ,
637,Bebhionn, , , ,
638,Bergelmir, , , ,
639,Bestla, , , ,
640,Farbauti, , , ,
641,Fenrir, , , ,
642,Fornjot, , , ,
643,Hati, , , ,
644,Hyrrokkin, , , ,
645,Kari, , , ,
646,Loge, , , ,
647,Skoll, , , ,
648,Sutur, , , ,
649,Anthe,1000.00,1000.00,1000.00,1000.00
650,Jarnsaxa, , , ,
651,Greip, , , ,
652,Tarqeq, , , ,
653,Aegaeon, , , ,
799,Uranus,25362000.00,25559000.00,25559000.00,24973000.00
701,Ariel,578900.00,581100.00,577900.00,577700.00
702,Umbriel,584700.00,584700.00,584700.00,584700.00
703,Titania,788900.00,788900.00,788900.00,788900.00
704,Oberon,761400.00,761400.00,761400.00,761400.00
705,Miranda,235800.00,240400.00,234200.00,232900.00
706,Cordelia,13000.00,13000.00,13000.00,13000.00
707,Ophelia,15000.00,15000.00,15000.00,15000.00
708,Bianca,21000.00,21000.00,21000.00,21000.00
709,Cressida,31000.00,31000.00,31000.00,31000.00
710,Desdemona,27000.00,27000.00,27000.00,27000.00
711,Juliet,42000.00,42000.00,42000.00,42000.00
712,Portia,54000.00,54000.00,54000.00,54000.00
713,Rosalind,27000.00,27000.00,27000.00,27000.00
714,Belinda,33000.00,33000.00,33000.00,33000.00
715,Puck,77000.00,77000.00,77000.00,77000.00
716,Caliban, , , ,
717,Sycorax, , , ,
718,Prospero, , , ,
719,Setebos, , , ,
720,Stephano, , , ,
721,Trinculo, , , ,
722,Francisco, , , ,
723,Margaret, , , ,
724,Ferdinand, , , ,
725,Perdita, , , ,
726,Mab, , , ,
727,Cupid, , , ,
899,Neptune,24622000.00,24764000.00,24764000.00,24341000.00
801,Triton,1352600.00,1352600.00,1352600.00,1352600.00
802,Nereid,170000.00,170000.00,170000.00,170000.00
803,Naiad,29000.00,29000.00,29000.00,29000.00
804,Thalassa,40000.00,40000.00,40000.00,40000.00
805,Despina,74000.00,74000.00,74000.00,74000.00
806,Galatea,79000.00,79000.00,79000.00,79000.00
807,Larissa,96000.00,96000.00,96000.00,89000.00
808,Proteus,208000.00,218000.00,208000.00,201000.00
809,Halimede, , , ,
810,Psamathe, , , ,
811,Sao, , , ,
812,Laomedeia, , , ,
813,Neso, , , ,
999,Pluto,1195000.00,1195000.00,1195000.00,1195000.00
901,Charon,605000.00,605000.00,605000.00,605000.00
1000005,Borrelly,4220.00,3500.00,-1.00,-1.00
1000036,Halley, ,8000.00,4000.00,4000.00
1000093,Tempel 1,3000.00,3700.00,2500.00,-1.00
1000107,Wild 2,1975.00,2700.00,1900.00,1500.00
9511010,Gaspra,6100.00,9100.00,5200.00,4400.00
2431010,Ida,15650.00,26800.00,12000.00,7600.00
2431011,Dactyl, , , ,
2000001,Ceres,476200.00,487300.00,487300.00,454700.00
2000002,Pallas, , , ,
2000004,Vesta,255000.00,289000.00,280000.00,229000.00
2000021,Lutetia,52500.00,62000.00,50500.00,46500.00
2000216,Kleopatra, ,108500.00,47000.00,40500.00
2000433,Eros,8450.00,17000.00,5500.00,5500.00
2000511,Davida,150000.00,180000.00,147000.00,127000.00
2000253,Mathilde,26500.00,33000.00,24000.00,23000.00
2002867,Steins,2700.00,3240.00,2730.00,2040.00
2009969,1992KD, , , ,
2009969,Braille, , , ,
2004015,Wilson-Harrington, , , ,
2004179,Toutatis, ,2130.00,1015.00,850.00
2025143,Itokawa, ,535.00,294.00,209.00
